time,ms,motvel,vehvel,
Wed Jun 25 08:17:58 EDT 2014,1403698678996,0.0,0.0,
Wed Jun 25 08:17:59 EDT 2014,1403698679206,0.0,0.0,
Wed Jun 25 08:17:59 EDT 2014,1403698679499,0.0,0.0,
Wed Jun 25 08:17:59 EDT 2014,1403698679610,0.0,0.0,
Wed Jun 25 08:17:59 EDT 2014,1403698679901,0.0,0.0,
Wed Jun 25 08:18:00 EDT 2014,1403698680090,0.0,0.0,
Wed Jun 25 08:18:00 EDT 2014,1403698680302,0.0,0.0,
Wed Jun 25 08:18:00 EDT 2014,1403698680409,0.0,0.0,
Wed Jun 25 08:18:00 EDT 2014,1403698680702,0.0,0.0,
Wed Jun 25 08:18:00 EDT 2014,1403698680805,0.0,0.0,
Wed Jun 25 08:18:01 EDT 2014,1403698681104,0.0,0.0,
Wed Jun 25 08:18:01 EDT 2014,1403698681205,0.0,0.0,
Wed Jun 25 08:18:01 EDT 2014,1403698681492,0.0,0.0,
Wed Jun 25 08:18:01 EDT 2014,1403698681603,0.0,0.0,
Wed Jun 25 08:18:01 EDT 2014,1403698681857,0.0,0.0,
Wed Jun 25 08:18:02 EDT 2014,1403698682049,0.0,0.0,
Wed Jun 25 08:18:02 EDT 2014,1403698682252,0.0,0.0,
Wed Jun 25 08:18:02 EDT 2014,1403698682419,0.0,0.0,
Wed Jun 25 08:18:02 EDT 2014,1403698682741,0.0,0.0,
Wed Jun 25 08:18:02 EDT 2014,1403698682809,0.0,0.0,
Wed Jun 25 08:18:03 EDT 2014,1403698683053,0.0,0.0,
Wed Jun 25 08:18:08 EDT 2014,1403698688259,0.0,0.0,
Wed Jun 25 08:18:13 EDT 2014,1403698693939,0.0,0.0,
Wed Jun 25 08:18:14 EDT 2014,1403698694005,0.0,0.0,
Wed Jun 25 08:18:14 EDT 2014,1403698694200,0.0,0.0,
Wed Jun 25 08:18:14 EDT 2014,1403698694404,0.0,0.0,
Wed Jun 25 08:18:14 EDT 2014,1403698694733,0.0,0.0,
Wed Jun 25 08:18:14 EDT 2014,1403698694829,0.0,0.0,
Wed Jun 25 08:18:14 EDT 2014,1403698694989,0.0,0.0,
Wed Jun 25 08:18:15 EDT 2014,1403698695215,0.0,0.0,
Wed Jun 25 08:18:15 EDT 2014,1403698695521,0.0,0.0,
Wed Jun 25 08:18:15 EDT 2014,1403698695610,0.0,0.0,
Wed Jun 25 08:18:15 EDT 2014,1403698695905,0.0,0.0,
Wed Jun 25 08:18:16 EDT 2014,1403698696117,0.0,0.0,
Wed Jun 25 08:18:16 EDT 2014,1403698696418,0.0,0.0,
Wed Jun 25 08:18:16 EDT 2014,1403698696756,0.0,0.0,
Wed Jun 25 08:18:16 EDT 2014,1403698696811,0.0,0.0,
Wed Jun 25 08:18:16 EDT 2014,1403698696992,0.0,0.0,
Wed Jun 25 08:18:18 EDT 2014,1403698698067,0.0,0.0,
Wed Jun 25 08:18:18 EDT 2014,1403698698070,0.0,0.0,
Wed Jun 25 08:18:18 EDT 2014,1403698698205,0.0,0.0,
Wed Jun 25 08:18:18 EDT 2014,1403698698404,0.0,0.0,
Wed Jun 25 08:18:19 EDT 2014,1403698699049,0.0,0.0,
Wed Jun 25 08:18:31 EDT 2014,1403698711816,0.0,0.0,
Wed Jun 25 08:18:32 EDT 2014,1403698712422,0.0,0.0,
Wed Jun 25 08:18:32 EDT 2014,1403698712607,0.0,0.0,
Wed Jun 25 08:18:32 EDT 2014,1403698712810,0.0,0.0,
Wed Jun 25 08:18:33 EDT 2014,1403698713254,0.0,0.0,
Wed Jun 25 08:18:33 EDT 2014,1403698713672,0.0,0.0,
Wed Jun 25 08:18:45 EDT 2014,1403698725680,0.0,0.0,
Wed Jun 25 08:18:46 EDT 2014,1403698726010,0.0,0.0,
Wed Jun 25 08:18:47 EDT 2014,1403698727135,0.0,0.0,
Wed Jun 25 08:18:48 EDT 2014,1403698728008,0.0,0.0,
Wed Jun 25 08:18:48 EDT 2014,1403698728917,0.0,0.0,
Wed Jun 25 08:18:49 EDT 2014,1403698729152,0.0,0.0,
Wed Jun 25 08:18:49 EDT 2014,1403698729260,0.0,0.0,
Wed Jun 25 08:18:49 EDT 2014,1403698729468,0.0,0.0,
Wed Jun 25 08:18:49 EDT 2014,1403698729877,0.0,0.0,
Wed Jun 25 08:18:50 EDT 2014,1403698730008,0.0,0.0,
Wed Jun 25 08:18:50 EDT 2014,1403698730266,0.0,0.0,
Wed Jun 25 08:18:50 EDT 2014,1403698730461,0.0,0.0,
Wed Jun 25 08:18:50 EDT 2014,1403698730863,0.0,0.0,
Wed Jun 25 08:18:56 EDT 2014,1403698736215,0.0,0.0,
Wed Jun 25 08:18:56 EDT 2014,1403698736463,0.0,0.0,
Wed Jun 25 08:19:01 EDT 2014,1403698741896,0.0,0.0,
Wed Jun 25 08:19:02 EDT 2014,1403698742273,0.0,0.0,
Wed Jun 25 08:19:02 EDT 2014,1403698742427,0.0,0.0,
Wed Jun 25 08:19:03 EDT 2014,1403698743220,0.0,0.0,
Wed Jun 25 08:19:03 EDT 2014,1403698743409,0.0,0.0,
Wed Jun 25 08:19:03 EDT 2014,1403698743613,0.0,0.0,
Wed Jun 25 08:19:03 EDT 2014,1403698743871,0.0,0.0,
Wed Jun 25 08:19:04 EDT 2014,1403698744209,0.0,0.0,
Wed Jun 25 08:19:04 EDT 2014,1403698744414,0.0,0.0,
Wed Jun 25 08:19:04 EDT 2014,1403698744609,0.0,0.0,
Wed Jun 25 08:19:04 EDT 2014,1403698744818,0.0,0.0,
Wed Jun 25 08:19:05 EDT 2014,1403698745072,0.0,0.0,
Wed Jun 25 08:19:05 EDT 2014,1403698745270,0.0,0.0,
Wed Jun 25 08:19:05 EDT 2014,1403698745410,0.0,0.0,
Wed Jun 25 08:19:05 EDT 2014,1403698745670,0.0,0.0,
Wed Jun 25 08:19:05 EDT 2014,1403698745811,0.0,0.0,
Wed Jun 25 08:19:06 EDT 2014,1403698746061,0.0,0.0,
Wed Jun 25 08:19:06 EDT 2014,1403698746211,0.0,0.0,
Wed Jun 25 08:19:06 EDT 2014,1403698746461,0.0,0.0,
Wed Jun 25 08:19:06 EDT 2014,1403698746611,0.0,0.0,
Wed Jun 25 08:19:06 EDT 2014,1403698746861,0.0,0.0,
Wed Jun 25 08:19:07 EDT 2014,1403698747012,0.0,0.0,
Wed Jun 25 08:19:12 EDT 2014,1403698752210,0.0,0.0,
Wed Jun 25 08:19:12 EDT 2014,1403698752422,0.0,0.0,
Wed Jun 25 08:19:17 EDT 2014,1403698757688,0.0,0.0,
Wed Jun 25 08:19:17 EDT 2014,1403698757816,0.0,0.0,
Wed Jun 25 08:19:18 EDT 2014,1403698758012,0.0,0.0,
Wed Jun 25 08:19:18 EDT 2014,1403698758216,0.0,0.0,
Wed Jun 25 08:19:18 EDT 2014,1403698758470,0.0,0.0,
Wed Jun 25 08:19:18 EDT 2014,1403698758617,0.0,0.0,
Wed Jun 25 08:19:18 EDT 2014,1403698758871,0.0,0.0,
Wed Jun 25 08:19:19 EDT 2014,1403698759017,0.0,0.0,
Wed Jun 25 08:19:19 EDT 2014,1403698759271,0.0,0.0,
Wed Jun 25 08:19:19 EDT 2014,1403698759417,0.0,0.0,
Wed Jun 25 08:19:19 EDT 2014,1403698759674,0.0,0.0,
Wed Jun 25 08:19:19 EDT 2014,1403698759818,0.0,0.0,
Wed Jun 25 08:19:20 EDT 2014,1403698760076,0.0,0.0,
Wed Jun 25 08:19:20 EDT 2014,1403698760219,0.0,0.0,
Wed Jun 25 08:19:20 EDT 2014,1403698760475,0.0,0.0,
Wed Jun 25 08:19:20 EDT 2014,1403698760670,0.0,0.0,
Wed Jun 25 08:19:20 EDT 2014,1403698760865,0.0,0.0,
Wed Jun 25 08:19:21 EDT 2014,1403698761071,0.0,0.0,
Wed Jun 25 08:19:21 EDT 2014,1403698761265,0.0,0.0,
Wed Jun 25 08:19:21 EDT 2014,1403698761471,0.0,0.0,
Wed Jun 25 08:19:21 EDT 2014,1403698761645,0.0,0.0,
Wed Jun 25 08:19:21 EDT 2014,1403698761871,0.0,0.0,
Wed Jun 25 08:19:22 EDT 2014,1403698762019,0.0,0.0,
Wed Jun 25 08:19:22 EDT 2014,1403698762189,0.0,0.0,
Wed Jun 25 08:19:22 EDT 2014,1403698762416,0.0,0.0,
Wed Jun 25 08:19:22 EDT 2014,1403698762611,0.0,0.0,
Wed Jun 25 08:19:22 EDT 2014,1403698762816,0.0,0.0,
Wed Jun 25 08:19:23 EDT 2014,1403698763012,0.0,0.0,
Wed Jun 25 08:19:28 EDT 2014,1403698768220,0.0,0.0,
Wed Jun 25 08:19:28 EDT 2014,1403698768473,0.0,0.0,
Wed Jun 25 08:19:33 EDT 2014,1403698773700,0.0,0.0,
Wed Jun 25 08:19:33 EDT 2014,1403698773898,0.0,0.0,
Wed Jun 25 08:19:34 EDT 2014,1403698774084,0.0,0.0,
Wed Jun 25 08:19:34 EDT 2014,1403698774262,0.0,0.0,
Wed Jun 25 08:19:34 EDT 2014,1403698774502,0.0,0.0,
Wed Jun 25 08:19:34 EDT 2014,1403698774684,0.0,0.0,
Wed Jun 25 08:19:34 EDT 2014,1403698774870,0.0,0.0,
Wed Jun 25 08:19:35 EDT 2014,1403698775045,0.0,0.0,
Wed Jun 25 08:19:35 EDT 2014,1403698775249,0.0,0.0,
Wed Jun 25 08:19:35 EDT 2014,1403698775449,0.0,0.0,
Wed Jun 25 08:19:35 EDT 2014,1403698775651,0.0,0.0,
Wed Jun 25 08:19:35 EDT 2014,1403698775857,0.0,0.0,
Wed Jun 25 08:19:36 EDT 2014,1403698776047,0.0,0.0,
Wed Jun 25 08:19:36 EDT 2014,1403698776219,0.0,0.0,
Wed Jun 25 08:19:36 EDT 2014,1403698776459,0.0,0.0,
Wed Jun 25 08:19:36 EDT 2014,1403698776617,0.0,0.0,
Wed Jun 25 08:19:36 EDT 2014,1403698776859,0.0,0.0,
Wed Jun 25 08:19:37 EDT 2014,1403698777050,0.0,0.0,
